case_name,CASE_08
case_title,MOOG Meteorite with SAR-C (external 1200 Wh EPS)
platform_id,PLT-042
payload_id,PAY-015
battery_id,BAT-022
solar_array_id,SOL-019
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Payload active power (250.0 W) exceeds platform avg payload power (150.0 W); Payload peak power (4000.0 W) exceeds platform peak payload power (2000.0 W); Payload peak power (4000.0 W) exceeds battery max continuous power (2073.6 W)
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.readout_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,335.14
initial_wet_mass_kg,365.14
final_spacecraft_mass_kg,365.1357171919048
propellant_consumed_kg,0.004282808094507302
remaining_propellant_kg,29.99571719190561
total_thruster_operating_time_s,277200.0
total_thruster_cycles,1
simulated_thruster_duty_cycle_pct,17.865429234338748
minimum_altitude_km,118.60075126550984
maximum_altitude_km,272.3365183178017
mean_altitude_km,233.90023415058982
minimum_battery_soc,0.8903508771929824
termination_reason,Simulation Exception
