case_name,CASE_07
case_title,MOOG Meteorite with Raptor (external 800 Wh EPS)
platform_id,PLT-042
payload_id,PAY-012
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,219.62
initial_wet_mass_kg,249.62
final_spacecraft_mass_kg,248.2814965055204
propellant_consumed_kg,1.338503494477485
remaining_propellant_kg,28.661496505522624
total_thruster_operating_time_s,277200.0
total_thruster_cycles,77
simulated_thruster_duty_cycle_pct,0.6563739619303102
minimum_altitude_km,319.2835883009232
maximum_altitude_km,404.49629550226507
mean_altitude_km,358.0191324298871
minimum_battery_soc,0.0
termination_reason,End of Simulation
