case_name,CASE_07
case_title,MOOG Meteorite with Raptor (external 800 Wh EPS)
platform_id,PLT-042
payload_id,PAY-012
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,219.62
initial_wet_mass_kg,249.62
final_spacecraft_mass_kg,219.60382181010496
propellant_consumed_kg,30.0
remaining_propellant_kg,0.0
total_thruster_operating_time_s,3715200.0
total_thruster_cycles,1032
simulated_thruster_duty_cycle_pct,12.310195227765727
minimum_altitude_km,121.87953631358246
maximum_altitude_km,281.24743045024564
mean_altitude_km,232.37867283369357
minimum_battery_soc,0.0
termination_reason,Simulation Exception
