case_name,CASE_08
case_title,MOOG Meteorite with SAR-C (external 1200 Wh EPS)
platform_id,PLT-042
payload_id,PAY-015
battery_id,BAT-022
solar_array_id,SOL-019
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Payload active power (250.0 W) exceeds platform avg payload power (150.0 W); Payload peak power (4000.0 W) exceeds platform peak payload power (2000.0 W); Payload peak power (4000.0 W) exceeds battery max continuous power (2073.6 W)
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.readout_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,335.14
initial_wet_mass_kg,365.14
final_spacecraft_mass_kg,365.11093159882694
propellant_consumed_kg,0.029068401173063342
remaining_propellant_kg,29.970931598837026
total_thruster_operating_time_s,1881420.0
total_thruster_cycles,1
simulated_thruster_duty_cycle_pct,28.195951839296473
minimum_altitude_km,25.026300666785257
maximum_altitude_km,334.821596456198
mean_altitude_km,286.96922000984006
minimum_battery_soc,1.0
termination_reason,Simulation Exception
