case_name,CASE_06
case_title,The Frame with Raptor (integrated 1100 Wh EPS)
platform_id,PLT-033
payload_id,PAY-012
battery_id,Integrated
solar_array_id,Integrated
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.max_charge_power_w; solar_array.mass_per_unit_kg; solar_array.total_mass_kg
total_dry_mass_kg,171.8
initial_wet_mass_kg,191.8
final_spacecraft_mass_kg,189.7666221390598
propellant_consumed_kg,2.0333778609413162
remaining_propellant_kg,17.966622139057886
total_thruster_operating_time_s,2552400.0
total_thruster_cycles,710
simulated_thruster_duty_cycle_pct,50.55517002081887
minimum_altitude_km,106.44259839230634
maximum_altitude_km,272.43164298577426
mean_altitude_km,230.29020925334507
minimum_battery_soc,0.08432535885167454
termination_reason,Simulation Exception
