case_name,CASE_07
case_title,MOOG Meteorite with Raptor (external 800 Wh EPS)
platform_id,PLT-042
payload_id,PAY-012
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,None
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,210.06
initial_wet_mass_kg,240.06
final_spacecraft_mass_kg,239.68683948687126
propellant_consumed_kg,0.3731605130655495
remaining_propellant_kg,29.62683948694453
total_thruster_operating_time_s,24152400.0
total_thruster_cycles,1
simulated_thruster_duty_cycle_pct,37.16279842685426
minimum_altitude_km,106.80761691478786
maximum_altitude_km,410.24210111512286
mean_altitude_km,343.6128094168877
minimum_battery_soc,0.8625
termination_reason,Simulation Exception
