case_name,CASE_03
case_title,SSTL-MICRO with DragonEye (external 800 Wh EPS)
platform_id,PLT-017
payload_id,PAY-011
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,77.62
initial_wet_mass_kg,92.62
final_spacecraft_mass_kg,89.87346036198164
propellant_consumed_kg,2.7465396380187284
remaining_propellant_kg,12.253460361981208
total_thruster_operating_time_s,568800.0
total_thruster_cycles,158
simulated_thruster_duty_cycle_pct,1.2613795268399874
minimum_altitude_km,258.61350384086717
maximum_altitude_km,346.7066504785714
mean_altitude_km,295.9054926512585
minimum_battery_soc,0.0
termination_reason,End of Simulation
