case_name,CASE_04
case_title,The Frame with HyperScape100 (integrated 1100 Wh EPS)
platform_id,PLT-033
payload_id,PAY-003
battery_id,Integrated
solar_array_id,Integrated
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.max_charge_power_w; solar_array.mass_per_unit_kg; solar_array.total_mass_kg
total_dry_mass_kg,121.26
initial_wet_mass_kg,136.26
final_spacecraft_mass_kg,121.25527494541794
propellant_consumed_kg,15.000000000000002
remaining_propellant_kg,0.0
total_thruster_operating_time_s,6426000.0
total_thruster_cycles,1785
simulated_thruster_duty_cycle_pct,18.247831641229073
minimum_altitude_km,122.94868946934857
maximum_altitude_km,280.49168102453245
mean_altitude_km,236.1550358312315
minimum_battery_soc,0.0
termination_reason,Simulation Exception
