case_name,CASE_08
case_title,MOOG Meteorite with SAR-C (external 1200 Wh EPS)
platform_id,PLT-042
payload_id,PAY-015
battery_id,BAT-022
solar_array_id,SOL-019
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Payload active power (250.0 W) exceeds platform avg payload power (150.0 W); Payload peak power (4000.0 W) exceeds platform peak payload power (2000.0 W); Payload peak power (4000.0 W) exceeds battery max continuous power (2073.6 W); Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Payload active power (250.0 W) exceeds platform avg payload power (150.0 W); Payload peak power (4000.0 W) exceeds platform peak payload power (2000.0 W); Payload peak power (4000.0 W) exceeds battery max continuous power (2073.6 W); Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.readout_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,344.7
initial_wet_mass_kg,374.7
final_spacecraft_mass_kg,367.4512213350907
propellant_consumed_kg,7.248778664897602
remaining_propellant_kg,22.751221335103043
total_thruster_operating_time_s,1501200.0
total_thruster_cycles,417
simulated_thruster_duty_cycle_pct,3.50731999657544
minimum_altitude_km,259.3458926195295
maximum_altitude_km,341.52586556402196
mean_altitude_km,293.7645297234371
minimum_battery_soc,0.0
termination_reason,End of Simulation
