case_name,CASE_04
case_title,The Frame with HyperScape100 (integrated 1100 Wh EPS)
platform_id,PLT-033
payload_id,PAY-003
battery_id,Integrated
solar_array_id,Integrated
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,None
missing_parameters,payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.max_charge_power_w; solar_array.mass_per_unit_kg; solar_array.total_mass_kg
total_dry_mass_kg,111.7
initial_wet_mass_kg,126.7
final_spacecraft_mass_kg,126.67831527122365
propellant_consumed_kg,0.021684728776352195
remaining_propellant_kg,14.978315271231168
total_thruster_operating_time_s,1403520.0
total_thruster_cycles,1
simulated_thruster_duty_cycle_pct,29.832168545630772
minimum_altitude_km,30.419676875809422
maximum_altitude_km,334.82013433402966
mean_altitude_km,286.1798425729988
minimum_battery_soc,1.0
termination_reason,Simulation Exception
