case_name,CASE_02
case_title,SSTL-MICRO with MultiScape200 (external 400 Wh EPS)
platform_id,PLT-017
payload_id,PAY-005
battery_id,BAT-020
solar_array_id,SOL-017
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,56.42
initial_wet_mass_kg,66.42
final_spacecraft_mass_kg,64.40579213297809
propellant_consumed_kg,2.0142078670031642
remaining_propellant_kg,7.985792132995573
total_thruster_operating_time_s,7506000.0
total_thruster_cycles,413
simulated_thruster_duty_cycle_pct,7.048885591164636
minimum_altitude_km,318.9591160155704
maximum_altitude_km,407.06491266280676
mean_altitude_km,351.1155389186915
minimum_battery_soc,0.16789473684210462
termination_reason,End of Simulation
