case_name,CASE_03
case_title,SSTL-MICRO with DragonEye (external 800 Wh EPS)
platform_id,PLT-017
payload_id,PAY-011
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible
mission_feasibility_status,Success
failed_checks,None
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,69.42
initial_wet_mass_kg,84.42
final_spacecraft_mass_kg,81.56436524944182
propellant_consumed_kg,2.8556347505331696
remaining_propellant_kg,12.144365249465167
total_thruster_operating_time_s,10641600.0
total_thruster_cycles,29
simulated_thruster_duty_cycle_pct,8.435832310721727
minimum_altitude_km,318.54063918128065
maximum_altitude_km,406.4395638668217
mean_altitude_km,351.6694956072921
minimum_battery_soc,0.7375
termination_reason,End of Simulation
