case_name,CASE_02
case_title,SSTL-MICRO with MultiScape200 (external 400 Wh EPS)
platform_id,PLT-017
payload_id,PAY-005
battery_id,BAT-020
solar_array_id,SOL-017
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,56.42
initial_wet_mass_kg,66.42
final_spacecraft_mass_kg,65.86751775581277
propellant_consumed_kg,0.5524822441914451
remaining_propellant_kg,9.447517755808551
total_thruster_operating_time_s,1083600.0
total_thruster_cycles,301
simulated_thruster_duty_cycle_pct,2.668302845238435
minimum_altitude_km,319.0624082555063
maximum_altitude_km,402.4989888594966
mean_altitude_km,355.94550389790044
minimum_battery_soc,0.0
termination_reason,End of Simulation
