case_name,CASE_07
case_title,MOOG Meteorite with Raptor (external 800 Wh EPS)
platform_id,PLT-042
payload_id,PAY-012
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.payload_volume_l; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,211.42000000000002
initial_wet_mass_kg,241.42000000000002
final_spacecraft_mass_kg,239.58451081665456
propellant_consumed_kg,1.835489183360291
remaining_propellant_kg,28.164510816639705
total_thruster_operating_time_s,3600000.0
total_thruster_cycles,408
simulated_thruster_duty_cycle_pct,4.474758140464028
minimum_altitude_km,319.22300582384065
maximum_altitude_km,403.703956002473
mean_altitude_km,351.06578181147523
minimum_battery_soc,0.08664144736842076
termination_reason,End of Simulation
