case_name,CASE_04
case_title,The Frame with HyperScape100 (integrated 1100 Wh EPS)
platform_id,PLT-033
payload_id,PAY-003
battery_id,Integrated
solar_array_id,Integrated
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,None
missing_parameters,payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.mass_per_module_kg; battery.total_mass_kg; battery.max_charge_power_w; solar_array.mass_per_unit_kg; solar_array.total_mass_kg
total_dry_mass_kg,111.7
initial_wet_mass_kg,126.7
final_spacecraft_mass_kg,126.69694085136052
propellant_consumed_kg,0.0030591486389337855
remaining_propellant_kg,14.996940851361051
total_thruster_operating_time_s,198000.0
total_thruster_cycles,1
simulated_thruster_duty_cycle_pct,18.58108108108108
minimum_altitude_km,104.68351478342987
maximum_altitude_km,271.26043574412716
mean_altitude_km,233.59013973162683
minimum_battery_soc,0.9035645933014355
termination_reason,Simulation Exception
