case_name,CASE_03
case_title,SSTL-MICRO with DragonEye (external 800 Wh EPS)
platform_id,PLT-017
payload_id,PAY-011
battery_id,BAT-021
solar_array_id,SOL-018
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Simulation Exception
failed_checks,None
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.envelope_volume_l; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,69.42
initial_wet_mass_kg,84.42
final_spacecraft_mass_kg,84.36976555919156
propellant_consumed_kg,0.05023444080775475
remaining_propellant_kg,14.949765559192215
total_thruster_operating_time_s,187200.0
total_thruster_cycles,1
simulated_thruster_duty_cycle_pct,19.047619047619047
minimum_altitude_km,117.26518909357301
maximum_altitude_km,270.8694148067309
mean_altitude_km,231.4572588061713
minimum_battery_soc,0.7375
termination_reason,Simulation Exception
