case_name,CASE_02
case_title,SSTL-MICRO with MultiScape200 (external 400 Wh EPS)
platform_id,PLT-017
payload_id,PAY-005
battery_id,BAT-020
solar_array_id,SOL-017
feasibility_status,Feasible: No
mission_feasibility_status,Failed - Battery SoC dropped below min limit (73.0%) during cycle execution
failed_checks,Battery SoC dropped below min limit (73.0%) during cycle execution
missing_parameters,platform.battery_capacity_included_wh; platform.solar_array_power_included_w; platform.pointing_accuracy_deg; payload.readout_power_w; payload.peak_power_w; payload.pointing_requirements_deg; battery.max_charge_power_w
total_dry_mass_kg,56.42
initial_wet_mass_kg,66.42
final_spacecraft_mass_kg,63.004058025043776
propellant_consumed_kg,3.4159419749274327
remaining_propellant_kg,6.584058025071949
total_thruster_operating_time_s,12729600.0
total_thruster_cycles,532
simulated_thruster_duty_cycle_pct,11.509374732456266
minimum_altitude_km,259.3125975701567
maximum_altitude_km,335.89886383431895
mean_altitude_km,294.155008861054
minimum_battery_soc,0.0
termination_reason,End of Simulation
